Traceport Meta Category,Traceport Meta Tag,PCS Term,PCS Code,NTEE Code,Definition,NTEE Long Description,NTEE Major Group Letter,NTEE Major Group Letter Description,360Giving Term
,Trade,Trade,SN060800,NEW,"Promotion and development of businesses that buy and sell merchandise, whether buying from a manufacturer and supplying resellers (wholesale), or selling to individuals (retail), through brick-and-mortar stores or online, on a large scale or as small businesses. May include import/export activities, development of new markets, support of improved safety practices and business efficiencies, or research and policymaking. ",,N,Recreation & Sports,
,Transport and storage,Transport and storage,SN060900,NEW,"Support to develop businesses providing transport by truck or by rail, and storage services, for industry or on a smaller scale, for example household goods or the contents of offices, also specialized markets such as the transport and storage of art. May include self-storage facilities. May include research and policy concerns, especially relating to safety for workers and rail and road safety, or transport and storage of hazardous materials or foodstuffs. ",,N,Recreation & Sports,
,Real estate,Real estate,SN061000,S47,"Activities organized around the business of buying, selling, or renting land, buildings, housing, and other real property.",,S,Community Improvement & Capacity Building,
,Tourism,Tourism,SN061100,S33,"Activities of tourist bureaus, information centers and other community organizations that make available information about local points of interest, cultural events, recreational activities, hotels, restaurants, medical and dental services and other community resources. Also included are organizations that provide technical assistance for businesses, trade associations, professional associations or other community groups that want to sponsor a conference, trade show or convention; or which work to attract to the area out-of-town organizations that want to sponsor an event and help them make local connections and arrangements.",,S,Community Improvement & Capacity Building,
Religion,Religion,Religion,SP000000,X00,"Worship, religious training or study, governance, or administration of organized religions, or the promotion of religious activities. Does not include other services operated under the auspices of specific religious groups such as educational institutions, hospitals, social service agencies, etc. For separately organized graduate schools of theology, use Theology and Graduate and professional education.",,X,Religion-Related,
,Baha'i,Baha'i,SP010000,X80,"Doctrines and practices of the sect founded in Iran that emphasizes the spiritual unity of mankind, advocates peace and universal education, and affirms the equality of men and women.",,X,Religion-Related,
,Buddhism,Buddhism,SP020000,X50,"Religion of eastern and central Asia that is based on the teachings of Gautama Buddha, which stress that suffering is inherent in life and that one can achieve nirvana (release from suffering) through mental and moral self-purification. Includes Zen.",,X,Religion-Related,
,Christianity,Christianity,SP030000,X20,"Religious practice that provides opportunities for people to satisfy their inner needs and enhance their spiritual growth through organized worship or through other devotional activities under the auspices of one of the group of religious faiths that is based on the teachings of Jesus Christ. Use this term for Christian denominations such as Christian Science that are not broken out at a lower level as well as for organizations with ministries, missions or missionary activities; Bible camps and schools; Bible distribution programs; and associations of churches (if no denomination is mentioned).",,X,Religion-Related,
,Protestantism,Protestantism,SP030100,X21,"Religious practice that denies the universal authority of the Pope and affirm the Reformation principles of justification by faith alone, the priesthood of all believers and the primacy of the Bible as the only source of revealed truth. Includes Baptists, Congregationalists, Episcopalians and Anglicans, Jehovah's Witnesses, Lutherans, Mennonites, Methodists, Pentecostal churches, Presbyterians, Quakers (Friends), Salvationists, Seventh Day Adventists and Unitarian Universalists.",,X,Religion-Related,
,Baptist,Baptist,SP030101,NEW,"This describes a Protestant religious belief and practice without a central governing authority. Individual churches may vary in their specific doctrines, but have in common a belief that baptism should be performed by complete immersion and only by professing adult believers. Many historians place the origins of the Baptist church to congregations led by John Smyth and Roger Williams in the early 17th century. Organizations of Baptist congregations include the Southern Baptist Convention, Baptist World Alliance, and Baptist General Conference.",,N,Recreation & Sports,
,Episcopalianism and Anglicanism,Episcopalianism and Anglicanism,SP030102,NEW,"A Protestant religious belief and practice of congregations worldwide, most of which are linked by the Anglican Communion and use of the Book of Common Prayer. This Christian tradition has its origins in the break of the Church of England from the church of Rome, and share the Archbishop of Canterbury as a focus of unity. Use For: Church of England.",,N,Recreation & Sports,
,Lutheranism,Lutheranism,SP030103,NEW,"A Protestant religious belief and practice based on the theology of Martin Luther and with origins in the Protestant Reformation of the 16th century. Organizations of Lutheran denominations include the Lutheran World Federation, many national Evangelical Lutheran Church groups, and the International Lutheran Council.",,N,Recreation & Sports,
,Methodism,Methodism,SP030104,NEW,"A Protestant religious belief and practice based on the life and teachings of John Wesley and with origins in an 18th century revival movement beginning in England and moving to America. Many Methodists are strongly ecumenical and engage in close partnerships with other Christian denominations. Use For: Wesleyan Church, Church of the Nazarene, World Methodist Council, African Methodist Episcopal Church.",,N,Recreation & Sports,
,Presbyterianism,Presbyterianism,SP030105,NEW,"A Protestant religious belief and practice with origins in the Scottish Reformation, especially as led by John Knox. It is distinguished by a presbyterian, as opposed to episcopalian, form of church government; and by a Calvinist theology.",,N,Recreation & Sports,
,Catholicism,Catholicism,SP030200,X22,"Religious practice whose principal feature is a rite centering in the Mass, seven sacraments, veneration of the Virgin Mary and the saints, clerical celibacy, a variety of religious orders and dogma which includes transubstantiation and papal infallibility.",,X,Religion-Related,
,Orthodox Christianity,Orthodox Christianity,SP030300,X23,"Religious practice which utilize the Byzantine liturgy and discipline and, in the case of the Greek Orthodox, are governed by patriarchs of their own. Includes the Monophysite Christian (Coptic) church, the Eastern Orthodox Church of Russia and the Eastern Orthodox Church of Greece.",,X,Religion-Related,
,Mormonism,Mormonism,SP030400,X24,"Religious practice that traces its origins back to Joseph Smith, who in 1830 announced that he had discovered buried golden tablets and translated their hieroglyphics into the Book of Mormon, a book considered by his followers to be a new revelation from God, equal to but not supplanting the Bible.",,X,Religion-Related,
,Evangelicalism,Evangelicalism,SP030500,NEW,"A movement within the worldwide community of the Christian faith, especially across Protestant denominations. It centers on the experience of being ""born again"", a commitment to sharing the Christian message, and a belief in Biblical authority.",,N,Recreation & Sports,
,Christian Science,Christian Science,SP030600,NEW,"A spiritualist Christian belief and practice based on the writings of Mary Baker Eddy, especially ""Science and Health with Key to the Scriptures"" from 1866. A key component is the belief in a strong connection between prayer and physical healing. Use For: Church of Christ, Scientist.",,N,Recreation & Sports,
,Confucianism,Confucianism,SP040000,X60,"Religion that is based on the teachings of Confucius, which form the basis of much of Chinese ethics, education, statecraft and religion, and which stress the practice and cultivation of the cardinal virtues of filial piety, kindness, righteousness, propriety, intelligence and faithfulness.",,X,Religion-Related,
,Hinduism,Hinduism,SP050000,X70,"Religious philosophy that originated on the Indian subcontinent and which is marked by a caste system; an outlook that tends to view all forms and theories as aspects of one eternal being and truth; a belief in ahimsa, karma, dharma, samsara and moksha; and the practice of the way of works, the way of knowledge or the way of devotion as the means of release from the round of rebirths. Organizations and projects making reference to Jainism, Ashram, and Vedic should also be classified here.",,X,Religion-Related,
,Islam,Islam,SP060000,X40,"Religious faith and cultural system that is based on the belief in Allah as the sole deity, in Mohammed as the prophet of Allah and in the Koran as the revelation of Allah to Mohammed and the divinely authorized basis for the religious, social, civil, commercial, military and legal regulations of the Islamic world.",,X,Religion-Related,
,Sunni,Sunni,SP060100,NEW,Study and practice of the Islamic sect with the largest number of adherents. The vast majority of Muslims throughout the world are Sunni.,,N,Recreation & Sports,
,Shi'a,Shi'a,SP060200,NEW,"Study and practice of the second-largest Islamic sect, whose members are dominant in Iran, Iraq, Azerbaijan and Bahrain, with significant numbers in Yemen and some other Arab countries.",,N,Recreation & Sports,
,Sufism,Sufism,SP060300,NEW,"Study and practice of the mystical form of Islamic worship, involving an all-encompassing relationship with Allah and sometimes asceticism. Considered by some to be unique to Islam, and by others to be a philosophy that may be adopted by non-Muslims.",,N,Recreation & Sports,
,Judaism,Judaism,SP070000,X30,"Worldwide group which constitutes a continuation through descent or conversion of the ancient Jewish people, who practice Judaism, a religion that is characterized by a belief in one God and in the mission of Jews to teach the oneness of God as revealed in the Hebrew scriptures. Includes religious organizations that represent conservative, orthodox, reconstructionist and reform Jews. Organizations and projects making reference to Lubavitch, Chabad, Yeshiva, and Torah should also be classified here, but not necessarily those mentioning Israel, Hebrew, and Shalom.",,X,Religion-Related,
,Orthodox Judaism,Orthodox Judaism,SP070100,NEW,"Study and practice of the most traditional Jewish denomination, hewing most closely to the Torah and related texts, and the communities of its adherents, including cultural, sociological and political issues.",,N,Recreation & Sports,
,Reform Judaism,Reform Judaism,SP070200,NEW,"Study and practice of the largest denomination of Jews in the U.S. and one of the most adhered-to in the world, less conservative than the Orthodox, with a notable openness to change and full engagement with the modern world.",,N,Recreation & Sports,
,Conservative Judaism,Conservative Judaism,SP070300,NEW,"Study and practice of the denomination of Judaism that is less conservative than Orthodox Judaism but more conservative than Reform Judaism, having emerged in the 19th century at the same time as the Reform branch.",,N,Recreation & Sports,
,Reconstructionist Judaism,Reconstructionist Judaism,SP070400,NEW,"Modern, American-based, theologically diverse Jewish movement based on the ideas of Mordecai Kaplan and originating as a branch of Conservative Judaism. Upheld but not bound by Halakha, a collective body of Jewish laws, viewing Judaism as a progressively evolving civilization and espousing communal decision-making through a process of education and distillation of values from traditional Jewish sources, and historically rejecting a supernatural, anthropomorphic view of God, as well as chosenness and resurrection.",,N,Recreation & Sports,
,Sikhism,Sikhism,SP080000,NEW,"Study and practice of the religion of Sikhism, founded in India over 500 years ago and practiced mostly by Indians, especially Punjabis, in India and in diaspora, with beliefs in one God for people of all religions, reincarnation and equality, including gender equality. Sikhs refrain from cutting their hair as a symbol of spiritual devotion; male Sikhs must and female Sikhs may wear a turban as a symbol of dignity and self-esteem; other Sikh devotional items include a steel bracelet and the kirpan, a ceremonial sword. Sikhs gather to worship in a temple called a Gurdwara.",,N,Recreation & Sports,
,Shintoism,Shintoism,SP090000,NEW,"The indigenous religion of Japan consisting chiefly in the devotion to deities of natural forces, diligently carried out ritual practices, and veneration of the Emperor as a descendant of the Sun Goddess. Use For: Shinto, Kami-no-michi, The Way of the Gods.",,N,Recreation & Sports,
,Tribal and indigenous religions,Tribal and indigenous religions,SP100000,NEW,"Study and practice of indigenous religious traditions, sometimes syncretic with European or other imported religious practices such as African religious beliefs combined with indigenous religions in Latin America and the Caribbean.",,N,Recreation & Sports,
,Interfaith,Interfaith,SP110000,X90,"Projects using an approach to worship and belief representing multiple faiths that have gathered together to establish a worldwide Christian (or other religious) unity; to promote cooperation on such common tasks as supporting missions, working with students and sponsoring conferences; to establish mutual understanding regarding the fundamental issues of belief, worship and polity; and to serve as a united witness on world problems.",,X,Religion-Related,
,Spirituality,Spirituality,SP120000,X91,A relationship to a God or a Higher Power that does not necessarily involve adherence to a specific faith or practice of a specific religion.,,X,Religion-Related,
,Theology,Theology,SP130000,A78,"Organized opportunities for individuals to pursue their interest in theology or comparative religion, the study of the nature of religious belief and specific religious and quasi-religious systems, their commonalities and their differences, often through the medium of a club or society that is under the leadership of people who are knowledgeable in the subject. Activities may include lectures and other presentations that provide information about specific religions; field trips which enable participants to visit temples, synagogues, churches, mosques and other places of worship or meet with religious leaders representative of different faiths; opportunities for members to share and/or discuss their own work on major issues in the field; and other activities that promote the study and appreciation of theology and comparative religion.",,A,"Arts, Culture & Humanities",
Sports and recreation,Sports and recreation,Sports and recreation,SQ000000,N00,"Services meeting the recreational needs of individuals and communities, including camps and camping programs; physical fitness and other recreational facilities such as parks, playgrounds, etc.; sports training and competition services; and other sports, recreational and social clubs. Does not include programs primarily involved in character building and leadership development for youth such as scouting, even though they may also provide recreational programs (see Youth development); or neighborhood centers, senior centers and other community centers primarily engaged in the provision of social services (see Human Services).",,N,Recreation & Sports,
,Community recreation,Community recreation,SQ010000,N30,"Broad range of recreational, fitness, social, and leisure activities, including sports and games. Use this term for physical fitness programs and facilities whose primary aim is recreational, and for organizations or programs that provide a variety of recreational facilities for the general public. For multipurpose neighborhood centers that offer social services as well as recreational activities, use Human services; if these centers serve youth primarily, use Youth development. For physical fitness organizations and programs whose primary aim is general or public health, use Physical fitness (in Health).",,N,Recreation & Sports,
,Camps,Camps,SQ010100,N20,"Development, maintenance, and operation for the community of facilities for cooperative group living experiences in the out-of-doors; and which offer a wide range of activities under the supervision of trained leadership for children, youth, adults and special groups of all ages which include camp craft, cookouts, nature lore and conservation, and a wide range of indoor and outdoor recreational, athletic and group social activities. Included may be: Christian or other faith-based camps; Day camps; Residential camps; Special interest camps focusing on a special skill or activity such as athletics, music or art; Summer camps; and Therapeutic camps for children who have a disability, health impairment or other limitations which require special facilities or programming.",,N,Recreation & Sports,
,Parks,Parks,SQ010200,N32,"Outdoor areas set aside for the enjoyment of people seeking leisure and recreational opportunities in a more or less natural environment. Parks may have benches, paths, trees, plantings, pavilions, and other features and facilities for leisure activity; and recreational areas and programs which provide athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails for use by the community. Includes national parks, state parks, county parks, city parks, neighborhood parks, public parks, private parks and other kinds of parks.",,N,Recreation & Sports,
,Playgrounds,Playgrounds,SQ010300,NEW,"Playgrounds are usually outdoor areas provided for children to play on, especially at schools or public parks. They may be specifically designed and equipped for children's activities, or designed for use by children with special needs. Playgrounds often also have facilities for playing informal games or sports for adults, such as baseball diamonds, skating arenas, basketball courts, tether ball areas, etc. Use For: Play area.",,N,Recreation & Sports,
,Festivals,Festivals,SQ010400,N52,"Sponsorship, organization and promotion of collectible/antique fairs, county and state fairs, street fairs, festivals, parades, and other similar activities during religious and patriotic holidays and other special occasions. Also included are organizations that sponsor air shows, rodeos, swap meets and other similar events. Use Arts codes for arts fairs, crafts fairs, and ethnic/cultural fairs, along with this term if necessary.",,N,Recreation & Sports,
,Clubs,Clubs,SQ010500,N50,"Programs for members and their guests only acreage and facilities for one or a variety of recreational activities, sports and games, or cultural pursuits. Most recreational clubs have a clubhouse with dining and bar services; offer the instructional and coaching services of professional athletes in the targeted sport or recreational activity; and offer an array of social activities for members. Also included are social clubs that provide organized opportunities for individuals of all ages to meet and socialize with their peers through dances, parties, picnics, barbecues and other companionable activities and special interest clubs that provide organized opportunities for people of all ages to pursue hobbies or other specific interests in cooperation with others who have the same interest. Use this term for private, membership social or recreational clubs other than country clubs. May include: Athletic clubs; Beach clubs; Hunt clubs; Racquet clubs; Yacht clubs; Men's clubs; Women's clubs; Singles' clubs; Amateur radio clubs; Arts and crafts clubs; Beer and wine making or wine tasting societies; Car clubs; Collecting clubs (art, antiques, baseball cards, books, coins, stamps, insects, etc.); Computer user groups; Geological societies; Investment clubs; Music clubs; Travel clubs, etc. For genealogical societies, use Genealogy. For horticultural societies or garden clubs, use Horticulture and gardening. For sports and recreational facilities that serve the general public, use Community recreation. For community service clubs, use Service clubs.",,N,Recreation & Sports,
,Sports,Sports,SQ020000,N60,"Individual or team recreational activities or competitive sports made available for community members to practice, play, enjoy, and appreciate. These programs often provide coaching to help members play efficiently and work together as a team (where required); access to a playing field, court or other facility; sporting equipment; uniforms; and officials (umpires, referees, etc.) for competitions. The teams are often organized into leagues, i.e., groups of teams that are formed to play one another in organized competitions. Also included are organizations that sponsor sports competitions or exhibitions to raise funds to enable people to participate in the sport and/or for other charitable purposes. Use this term for amateur sports clubs or leagues not broken out at a lower level or which cover more than one sport. May include: Bowling; Fencing; Field hockey; Polo; Soap box derbies; Weight lifting; and Wrestling. Also included are organizations that support activities that people enjoy but which typically do not involve leagues and competitions, e.g., ballooning, hiking, mountain climbing and sky diving; as well as those that support games like bridge and chess. For school-based sports training facilities, use Athletics/sports, training. For organizations whose major purpose is to prepare athletes for competitions, use Amateur competition or more specific terms in that category and reserve this category for those that provide leisure opportunities for people to play a sport and include competitions as a part of the activity. See also: Community recreation; Sports training; Clubs.",,N,Recreation & Sports,
,Baseball and softball,Baseball and softball,SQ020100,N63,Assistance to learn and become competitive in baseball or softball. These programs typically provide coaching to help members play efficiently and work together as a team; access to a baseball field; baseball equipment; uniforms; and umpires for games. Also included are sponsorships for baseball games to raise funds to enable people to participate in the sport and/or for other charitable purposes.,,N,Recreation & Sports,
,Basketball,Basketball,SQ020200,N62,Assistance to learn and become competitive in basketball. These programs often provide coaching to help members play efficiently and work together as a team; access to a basketball court; basketball equipment; uniforms; and officials for competitions. Also included are sponsorships for basketball games to raise funds to enable people to participate in the sport and/or for other charitable purposes.,,N,Recreation & Sports,
,Combat sports,Combat sports,SQ020300,NEW,"Promotion or teaching of competitive contact sports involving one-on-one contact such as boxing, wrestling, judo and mixed martial arts.",,N,Recreation & Sports,
,Cycling,Cycling,SQ020400,NEW,"Promotion of cycling whether for transportation, recreation or sport, including touring on paved paths or roads and riding on natural, unpaved areas on mountain bikes, designed for rougher terrain. May include cycling clubs or organizers of races and group rides, and advocacy for more extensive bike trails and paths for both recreation and transportation, especially in urban areas.",,N,Recreation & Sports,
,Equestrianism,Equestrianism,SQ020500,N69,"Assistance to learn and become competitive in sports involving horseback riding and jumping. These programs typically provide coaching assistance, access to riding and jumping facilities and officials for competitions. Also included are programs that sponsor horse shows for charitable purposes. For sponsorship of horse shows rather than to provide riding opportunities, or sponsorship of other types of competitions involving animals, use Animal training.",,N,Recreation & Sports,
,American football,American football,SQ020600,N65,Assistance to learn and become competitive in football. These programs typically provide coaching to help members play efficiently and work together as a team; access to a football field; football equipment; uniforms; and referees for competitions. Many also provide cheerleading opportunities for youth. Also included are sponsorships of football games to raise funds to enable people to participate in the sport and/or for other charitable purposes.,,N,Recreation & Sports,
,Golf,Golf,SQ020700,N6A,Assistance to learn and become competitive in the game of golf. These programs typically provide coaching to help members play to the best of their ability; access to a golf course; golf equipment; and officials for competitions. Also included are sponsorships of golf matches or exhibitions to raise funds to enable people to participate in the sport and/or for other charitable purposes.,,N,Recreation & Sports,
,Gymnastics,Gymnastics,SQ020800,NEW,"Promotion of involvement in and skills development in gymnastics, especially safe practice of the sport, including access to practice areas, specialized equipment such as balance beams, rings, uneven and parallel bars, and coaching.",,N,Recreation & Sports,
,Outdoor sports,Outdoor sports,SQ020900,NEW,"Promotion of and education for the wide range of sports taking place outdoors, usually in a natural setting, including rock climbing, cycling, hiking, skiing, snowshoeing, caving, water sports such as surfing, kayaking, and sailing, fishing and camping. Skills training may include safety practices and use of specialized equipment such as skis, mountaineering equipment, compasses and other wayfinding techniques, making a fire, and first aid. Enjoyment of nature and physical exercise are among the primary benefits of outdoor sports.",,N,Recreation & Sports,
,Fishing and hunting,Fishing and hunting,SQ020901,N61,"Assistance to learn and become competitive in archery; fly or bait fishing; game bird, game fowl, or game animal hunting; fox hunting; and/or the use of firearms on the target range. Also included are programs that provide hunting or fishing exhibitions or competitions to raise money for charitable purposes.",,N,Recreation & Sports,
,Hiking and walking,Hiking and walking,SQ020902,NEW,"Promotion of walking and hiking as sporting activities, including skills development and education for safe enjoyment, including walking on uneven or difficult terrain and remaining adequately hydrated. Enjoyment of nature and physical exercise are among the primary benefits of hiking and walking.",,N,Recreation & Sports,
,Mountain and rock climbing,Mountain and rock climbing,SQ020903,NEW,"Promotion of and skills development for rock climbing, which can take place in indoor climbing gyms or outdoors on rock formations, or mountain climbing, practiced on much longer routes up mountains. May include facilitating access to equipment and climbing sites, training in planning climbs, using equipment such as ropes and harnesses, and development of physical strength and skills.",,N,Recreation & Sports,
,Orienteering,Orienteering,SQ020904,NEW,"Promotion, organization and skills development in orienteering, a race to accomplish a navigational challenge. May include planning of race logistics and course design, and skills training such as the reading of maps and compasses. Most commonly engaged in on foot, orienteering may also make use of canoes, cars, bicycles, skis or horses. Other versions include geocaching.",,N,Recreation & Sports,
,Racquet sports,Racquet sports,SQ021000,N66,"Assistance to learn and become competitive in tennis, badminton, racquet ball, squash, table tennis, ping pong and other racquet sports. These programs typically provide coaching to help members play to the best of their ability; access to tennis courts; tennis equipment; and officials for competitions. Also included are sponsorships of tennis matches or exhibitions to raise funds to enable people to participate in the sport and/or for other charitable purposes.",,N,Recreation & Sports,
,Running,Running,SQ021100,NEW,"Promotion or facilitation of, or skills development for running for individuals or in a group, for recreation, sport or exercise. May include speed training or distance training such as for marathons.",,N,Recreation & Sports,
,European football,European football,SQ021200,N64,Assistance to learn and become competitive in soccer. These programs typically provide coaching to help members play efficiently and work together as a team; access to a soccer field; soccer equipment; uniforms; and officials for competitions. Also included are sponsorships of soccer games to raise funds to enable people to participate in the sport and/or for other charitable purposes.,,N,Recreation & Sports,
,Winter sports,Winter sports,SQ021300,N68,"Assistance to learn and become competitive in ice hockey, ice skating, alpine and cross-country skiing, sledding/tobogganing and other winter sports. These programs typically provide coaching assistance; access to skating rinks, ski slopes or other facilities; sports equipment; and officials for competitions. Also included are sponsorships of exhibitions or competitions to raise funds to enable people to participate in the sport and/or for other charitable purposes.",,N,Recreation & Sports,
,Ice skating,Ice skating,SQ021301,NEW,"Promotion of or skills development for skating on ice, for sport, exercise, or recreation, including speed skating, figure skating, and skating for hockey. May take place on natural outdoor ice or artificial rinks either indoors or out, and may include facilitation of access to equipment, ice, or training.",,N,Recreation & Sports,
,Skiing and snowboarding,Skiing and snowboarding,SQ021302,NEW,"Promotion of or skills development for downhill or cross-country skiing or snowboarding, usually for recreation, exercise, or enjoyment of nature, but also in competition. May include facilitation of access to equipment, training or coaching, and snow, for example groomed trails or hills with adequate snow cover.",,N,Recreation & Sports,
,Ice hockey,Ice hockey,SQ021303,NEW,"Promotion of or skills development for ice hockey, including organizing teams and leagues. May include facilitating access to indoor or outdoor rinks, equipment such as hockey skates, protective gear, sticks, pucks and nets, and training or coaching.",,N,Recreation & Sports,
,Sledding,Sledding,SQ021304,NEW,"Promotion of sledding for recreation or sport, and especially with specialized sleds such as the luge, bobsled or skeleton, training and coaching for competition up to the Olympic level.",,N,Recreation & Sports,
,Table tennis,Table tennis,SQ021400,NEW,"Promotion of table tennis, also known as ping pong, for recreation or as a competitive sport, including access to equipment and training.",,N,Recreation & Sports,
,Track and field,Track and field,SQ021500,NEW,"Promotion of track and field activities for sport or recreation, including in competition, including foot races of various lengths, relays and hurdling, and also javelin and discus throwing, shot put, long jump, high jump and pole vault. May include organizing teams and meets, skills training, coaching, and facilitating access to practice areas and equipment.",,N,Recreation & Sports,
,Volleyball,Volleyball,SQ021600,NEW,"Promotion of and skills development for volleyball, for recreation or in competition, including organizing teams and leagues, training, coaching, and facilitating access to indoor or outdoor courts.",,N,Recreation & Sports,
,Water sports,Water sports,SQ021700,N67,"Assistance to learn and become competitive in swimming, diving, snorkeling, surfing, water skiing, water polo, boating, white water rafting and other water sports. These programs typically provide coaching assistance; access to a swimming pool or other facilities; sports equipment; and officials for competitions. Also included are provision of swimming lessons outside of any club activities, and sponsorship of exhibitions or competitions to raise funds to enable people to participate in the sport and/or for other charitable purposes.",,N,Recreation & Sports,
,Boating,Boating,SQ021701,NEW,"Encouragement or facilitation of recreational boating, including education in the skills, knowledge and responsibilities required to pilot a boat safely. May include providing boats or equipment such as life jackets, or access to waterways. Common types of watercraft are motorboats, sailboats and paddle craft such as canoes and kayaks. Boaters may engage in related activities such as fishing, racing, and waterskiing.",,N,Recreation & Sports,
,Swimming,Swimming,SQ021702,NEW,"Learning and becoming competitive in swimming. This includes programs that provide coaching assistance, swimming lessons, access to swimming pools; sponsoring or organizing competitions; activities promoting and enabling participation in this sport.",,N,Recreation & Sports,
,Adaptive sports,Adaptive sports,SQ021800,N6B,"Assistance to learn, enjoy, and become competitive in recreational and competitive physical activities for people with disabilities and their families, including amateur sports leagues for people with disabilities.",,N,Recreation & Sports,
,Olympics,Olympics,SQ021900,N71,"Preparation of amateur athletes for participation in the Olympics, an international program of sports training and athletic competition which features a variety of sports and games, or in other similar competitions.",,N,Recreation & Sports,
,Special Olympics,Special Olympics,SQ022000,N72,"Preparation of people for participation in the Special Olympics, an international program of sports training and athletic competition for children and adults with disabilities which features a variety of sports and games, or in other similar competitions.",,N,Recreation & Sports,
,Paralympics,Paralympics,SQ022100,NEW,"Support for disabled athletes seeking opportunities to train and compete in Paralympic events on the local, regional, national and international levels, possibly leading to the international Paralympic Games held immediately after each Olympics. May include groups that organize activities for disabled athletes or seek to expand or improve opportunities that already exist, including Paralympic Sport Clubs.",,N,Recreation & Sports,
,Sports training,Sports training,SQ022200,N40,"Programs that promote and provide individual and team training and instruction in sports, and opportunities for athletic competition among member institutions,.",,N,Recreation & Sports,
,School athletics,School athletics,SQ022201,N41,"Support for school-based athletics programs at particular elementary, secondary or post-secondary educational institutions. Includes organizations that raise and contribute funds for sporting equipment, school athletic facilities, athletic uniforms, team pictures, awards banquets, trophies, cheerleading activities, travel expenses for athletes and other similar expenditures.",,N,Recreation & Sports,
,Intramural sports,Intramural sports,SQ022202,NEW,"Promotion of recreational sports within an institution or geographic area, often a school or university, offering those who do not compete on an official team an opportunity to participate in sports for fun, fitness and social contact. Teams may be organized by age or ability of participants, and may be sex-segregated or mixed. May include any sport usually played by teams, such as volleyball, soccer, softball, basketball, flag football.",,N,Recreation & Sports,
International human rights,International human rights,International human rights,SR000000,R00,"Measures to support specialized official human rights institutions and mechanisms at universal, regional, national and local levels in their statutory roles to promote and protect civil and political, economic, social and cultural rights as defined in international conventions and covenants; translation of international human rights commitments into national legislation; reporting and follow-up; human rights dialogue. Human rights defenders and human rights NGOs; human rights advocacy, activism, mobilization; awareness raising and public human rights education. Human rights programming targeting specific groups, e.g. children, persons with disabilities, migrants, ethnic, religious, linguistic and sexual minorities, indigenous people and those suffering from caste discrimination, victims of trafficking, victims of torture. This does not include efforts solely focused on the provision of services, such as food, housing, education, or legal assistance. For animal rights work, see Research on animals and Humane education.",,R,"Civil Rights, Social Action & Advocacy",
,Criminal justice system rights,Criminal justice system rights,SR030000,NEW,Work for the passage and enforcement of laws and other social measures that protect and promote the right to equal access to justice and legal representation.,,N,Recreation & Sports,
,Due process,Due process,SR030100,R68,"Work that focuses on obtaining speedy, equitable access to justice for plaintiffs and defendants. Principal concepts include timely notice of a hearing or trial which informs the accused of the charges against him or her; the opportunity to confront accusers and to present evidence on one's own behalf before an impartial jury or judge; the presumption of innocence under which guilt must be proved by legally obtained evidence; the right of the accused to be warned of constitutional rights at the earliest stage of the criminal process; protection against self-incrimination; assistance of counsel at every critical stage of the criminal process; and the guarantee that an individual will not be tried more than once for the same offense.",,R,"Civil Rights, Social Action & Advocacy",
,Capital punishment,Capital punishment,SR030200,R69,Work for passage of laws which prohibit the use of capital punishment as a sentencing alternative for people convicted of violent crimes.,,R,"Civil Rights, Social Action & Advocacy",
,Police reform,Police reform,SR030300,NEW,"Work to transform the values, culture, policies and practices of police organizations so that police perform their duties with respect for democratic values, human rights and the rule of law. Includes work to enhance police accountability, eliminate racial profiling and police brutality, reduce police department budgets to allow increased spending on social programs, as well as police abolition efforts. See also: Community policing (in Public safety and disaster management).",,N,Recreation & Sports,
,Prison reform,Prison reform,SR030400,NEW,"Work to improve conditions inside prisons or to reduce the number of people in incarceration. Also included are prison abolition efforts that aim to eliminate imprisonment. Aspects of prison reform may include reducing or eliminating the use of solitary confinement or placement of children in adult prisons; phasing out the use of private prisons or preventing their construction; focusing on rehabilitation versus punishment of prisoners; ensuring prisoners are protected from violence, including sexual abuse, and have appropriate access to medical and mental health care (including substance abuse treatment); and promoting greater accountability for prison abuses. Includes immigration detention. See also: Prisoners’ rights and Prison alternatives (in Public safety and disaster management).",,N,Recreation & Sports,
,Antidiscrimination,Antidiscrimination,SR040000,R20,"Work for the passage and enforcement of laws or other social measures that will more effectively protect the rights of specific groups within the community and/or which utilize a variety of other methods including research, public education and direct services to achieve these ends; and protect civil rights which protect all citizens from discrimination based on race, color, religion, sex or national origin in the areas of voting, education, employment and housing. Use this term for programs that broadly address civil rights and advocacy issues, which focus on populations in multiple categories or which focus on populations not broken out at a lower level. See aso: Diversity and intergroup relations (in International human rights).",,R,"Civil Rights, Social Action & Advocacy",
,Immigrant and refugee rights,Immigrant and refugee rights,SR040100,R21,"Work for passage and enforcement of laws and other social measures that protect and promote the rights and interests of immigrants, migrant workers, or refugees. For refugee resettlement programs and centers providing human services to immigrants use Immigrant and refugee services (in Human services). For study and implementation of public policies and regulations regarding the immigration and naturalization of people from other countries use Immigration and naturalization (in Public affairs).",,R,"Civil Rights, Social Action & Advocacy",
